J 	 kT 	 kQ 	 kP 	 etaP 
9.245472e-02 	 3.004060e-01 	 2.633380e-02 	 1.654601e-01 	 1.678589e-01 
9.388370e-02 	 3.001084e-01 	 2.633618e-02 	 1.654751e-01 	 1.702690e-01 
9.531268e-02 	 2.998106e-01 	 2.633851e-02 	 1.654897e-01 	 1.726739e-01 
9.674166e-02 	 2.995123e-01 	 2.634077e-02 	 1.655040e-01 	 1.750732e-01 
9.817064e-02 	 2.992133e-01 	 2.634299e-02 	 1.655179e-01 	 1.774670e-01 
9.959962e-02 	 2.989136e-01 	 2.634511e-02 	 1.655312e-01 	 1.798554e-01 
1.010286e-01 	 2.986140e-01 	 2.634721e-02 	 1.655444e-01 	 1.822384e-01 
1.024576e-01 	 2.983139e-01 	 2.634926e-02 	 1.655573e-01 	 1.846160e-01 
1.038866e-01 	 2.980133e-01 	 2.635125e-02 	 1.655698e-01 	 1.869881e-01 
1.053155e-01 	 2.977123e-01 	 2.635318e-02 	 1.655819e-01 	 1.893548e-01 
1.067445e-01 	 2.974111e-01 	 2.635508e-02 	 1.655938e-01 	 1.917161e-01 
1.081735e-01 	 2.971092e-01 	 2.635689e-02 	 1.656053e-01 	 1.940720e-01 
1.096025e-01 	 2.968069e-01 	 2.635866e-02 	 1.656163e-01 	 1.964225e-01 
1.110315e-01 	 2.965036e-01 	 2.636032e-02 	 1.656268e-01 	 1.987675e-01 
1.124604e-01 	 2.962003e-01 	 2.636197e-02 	 1.656371e-01 	 2.011072e-01 
1.138894e-01 	 2.958968e-01 	 2.636357e-02 	 1.656472e-01 	 2.034415e-01 
1.153184e-01 	 2.955927e-01 	 2.636510e-02 	 1.656568e-01 	 2.057705e-01 
1.167474e-01 	 2.952881e-01 	 2.636657e-02 	 1.656660e-01 	 2.080940e-01 
1.181764e-01 	 2.949831e-01 	 2.636798e-02 	 1.656749e-01 	 2.104122e-01 
1.196053e-01 	 2.946777e-01 	 2.636934e-02 	 1.656834e-01 	 2.127251e-01 
1.210343e-01 	 2.943718e-01 	 2.637063e-02 	 1.656916e-01 	 2.150326e-01 
1.224633e-01 	 2.940649e-01 	 2.637183e-02 	 1.656991e-01 	 2.173346e-01 
1.238923e-01 	 2.937581e-01 	 2.637301e-02 	 1.657065e-01 	 2.196315e-01 
1.253213e-01 	 2.934509e-01 	 2.637412e-02 	 1.657135e-01 	 2.219229e-01 
1.267502e-01 	 2.931434e-01 	 2.637520e-02 	 1.657203e-01 	 2.242091e-01 
1.281792e-01 	 2.928353e-01 	 2.637620e-02 	 1.657265e-01 	 2.264900e-01 
1.296082e-01 	 2.925267e-01 	 2.637713e-02 	 1.657324e-01 	 2.287655e-01 
1.310372e-01 	 2.922176e-01 	 2.637801e-02 	 1.657379e-01 	 2.310357e-01 
1.324662e-01 	 2.919083e-01 	 2.637883e-02 	 1.657431e-01 	 2.333007e-01 
1.338951e-01 	 2.915978e-01 	 2.637954e-02 	 1.657475e-01 	 2.355602e-01 
1.353241e-01 	 2.912874e-01 	 2.638023e-02 	 1.657519e-01 	 2.378146e-01 
1.367531e-01 	 2.909765e-01 	 2.638086e-02 	 1.657558e-01 	 2.400636e-01 
1.381821e-01 	 2.906653e-01 	 2.638142e-02 	 1.657594e-01 	 2.423075e-01 
1.396111e-01 	 2.903535e-01 	 2.638193e-02 	 1.657625e-01 	 2.445460e-01 
1.410400e-01 	 2.900414e-01 	 2.638237e-02 	 1.657653e-01 	 2.467793e-01 
1.424690e-01 	 2.897287e-01 	 2.638275e-02 	 1.657677e-01 	 2.490073e-01 
1.438980e-01 	 2.894153e-01 	 2.638303e-02 	 1.657695e-01 	 2.512301e-01 
1.453270e-01 	 2.891012e-01 	 2.638324e-02 	 1.657708e-01 	 2.534475e-01 
1.467560e-01 	 2.887871e-01 	 2.638343e-02 	 1.657720e-01 	 2.556598e-01 
1.481849e-01 	 2.884727e-01 	 2.638355e-02 	 1.657728e-01 	 2.578669e-01 
1.496139e-01 	 2.881578e-01 	 2.638362e-02 	 1.657732e-01 	 2.600687e-01 
1.510429e-01 	 2.878425e-01 	 2.638362e-02 	 1.657732e-01 	 2.622654e-01 
1.524719e-01 	 2.875266e-01 	 2.638355e-02 	 1.657727e-01 	 2.644568e-01 
1.539009e-01 	 2.872103e-01 	 2.638342e-02 	 1.657719e-01 	 2.666430e-01 
1.553298e-01 	 2.868939e-01 	 2.638326e-02 	 1.657709e-01 	 2.688239e-01 
1.567588e-01 	 2.865768e-01 	 2.638300e-02 	 1.657693e-01 	 2.709998e-01 
1.581878e-01 	 2.862590e-01 	 2.638267e-02 	 1.657672e-01 	 2.731704e-01 
1.596168e-01 	 2.859409e-01 	 2.638227e-02 	 1.657647e-01 	 2.753358e-01 
1.610458e-01 	 2.856225e-01 	 2.638183e-02 	 1.657619e-01 	 2.774961e-01 
1.624747e-01 	 2.853034e-01 	 2.638130e-02 	 1.657586e-01 	 2.796513e-01 
1.639037e-01 	 2.849839e-01 	 2.638070e-02 	 1.657549e-01 	 2.818012e-01 
1.653327e-01 	 2.846640e-01 	 2.638005e-02 	 1.657507e-01 	 2.839460e-01 
1.667617e-01 	 2.843435e-01 	 2.637932e-02 	 1.657461e-01 	 2.860857e-01 
1.681907e-01 	 2.840226e-01 	 2.637852e-02 	 1.657411e-01 	 2.882202e-01 
1.696196e-01 	 2.837012e-01 	 2.637765e-02 	 1.657357e-01 	 2.903497e-01 
1.710486e-01 	 2.833788e-01 	 2.637668e-02 	 1.657296e-01 	 2.924738e-01 
1.724776e-01 	 2.830565e-01 	 2.637568e-02 	 1.657233e-01 	 2.945930e-01 
1.739066e-01 	 2.827338e-01 	 2.637460e-02 	 1.657165e-01 	 2.967071e-01 
1.753356e-01 	 2.824110e-01 	 2.637350e-02 	 1.657096e-01 	 2.988160e-01 
1.767645e-01 	 2.820875e-01 	 2.637231e-02 	 1.657021e-01 	 3.009199e-01 
1.781935e-01 	 2.817634e-01 	 2.637104e-02 	 1.656941e-01 	 3.030187e-01 
1.796225e-01 	 2.814397e-01 	 2.636976e-02 	 1.656861e-01 	 3.051126e-01 
1.810515e-01 	 2.811147e-01 	 2.636834e-02 	 1.656771e-01 	 3.072012e-01 
1.824805e-01 	 2.807892e-01 	 2.636685e-02 	 1.656678e-01 	 3.092848e-01 
1.839094e-01 	 2.804626e-01 	 2.636525e-02 	 1.656577e-01 	 3.113631e-01 
1.853384e-01 	 2.801356e-01 	 2.636356e-02 	 1.656472e-01 	 3.134366e-01 
1.867674e-01 	 2.798087e-01 	 2.636187e-02 	 1.656365e-01 	 3.155050e-01 
1.881964e-01 	 2.794823e-01 	 2.636016e-02 	 1.656258e-01 	 3.175686e-01 
1.896254e-01 	 2.791544e-01 	 2.635832e-02 	 1.656142e-01 	 3.196269e-01 
1.910543e-01 	 2.788247e-01 	 2.635630e-02 	 1.656015e-01 	 3.216798e-01 
1.924833e-01 	 2.784970e-01 	 2.635440e-02 	 1.655896e-01 	 3.237283e-01 
1.939123e-01 	 2.781678e-01 	 2.635234e-02 	 1.655766e-01 	 3.257715e-01 
1.953413e-01 	 2.778382e-01 	 2.635021e-02 	 1.655633e-01 	 3.278098e-01 
1.967703e-01 	 2.775075e-01 	 2.634797e-02 	 1.655492e-01 	 3.298429e-01 
1.981992e-01 	 2.771769e-01 	 2.634569e-02 	 1.655349e-01 	 3.318711e-01 
1.996282e-01 	 2.768458e-01 	 2.634334e-02 	 1.655201e-01 	 3.338943e-01 
2.010572e-01 	 2.765154e-01 	 2.634102e-02 	 1.655055e-01 	 3.359128e-01 
2.024862e-01 	 2.761834e-01 	 2.633852e-02 	 1.654898e-01 	 3.379261e-01 
2.039152e-01 	 2.758509e-01 	 2.633595e-02 	 1.654737e-01 	 3.399344e-01 
2.053441e-01 	 2.755176e-01 	 2.633329e-02 	 1.654569e-01 	 3.419375e-01 
2.067731e-01 	 2.751842e-01 	 2.633056e-02 	 1.654398e-01 	 3.439359e-01 
2.082021e-01 	 2.748505e-01 	 2.632777e-02 	 1.654223e-01 	 3.459295e-01 
2.096311e-01 	 2.745172e-01 	 2.632499e-02 	 1.654048e-01 	 3.479182e-01 
2.110601e-01 	 2.741824e-01 	 2.632204e-02 	 1.653862e-01 	 3.499018e-01 
2.124890e-01 	 2.738467e-01 	 2.631897e-02 	 1.653670e-01 	 3.518805e-01 
2.139180e-01 	 2.735107e-01 	 2.631586e-02 	 1.653474e-01 	 3.538541e-01 
2.153470e-01 	 2.731746e-01 	 2.631269e-02 	 1.653275e-01 	 3.558230e-01 
2.167760e-01 	 2.728383e-01 	 2.630948e-02 	 1.653073e-01 	 3.577869e-01 
2.182050e-01 	 2.725025e-01 	 2.630625e-02 	 1.652871e-01 	 3.597462e-01 
2.196339e-01 	 2.721650e-01 	 2.630286e-02 	 1.652657e-01 	 3.617003e-01 
2.210629e-01 	 2.718257e-01 	 2.629929e-02 	 1.652433e-01 	 3.636492e-01 
2.224919e-01 	 2.714881e-01 	 2.629580e-02 	 1.652214e-01 	 3.655936e-01 
2.239209e-01 	 2.711533e-01 	 2.629203e-02 	 1.651977e-01 	 3.675408e-01 
2.253499e-01 	 2.708095e-01 	 2.628845e-02 	 1.651752e-01 	 3.694675e-01 
2.267788e-01 	 2.704692e-01 	 2.628464e-02 	 1.651512e-01 	 3.713971e-01 
2.282078e-01 	 2.701300e-01 	 2.628086e-02 	 1.651275e-01 	 3.733222e-01 
2.296368e-01 	 2.697888e-01 	 2.627689e-02 	 1.651026e-01 	 3.752421e-01 
2.310658e-01 	 2.694475e-01 	 2.627287e-02 	 1.650773e-01 	 3.771572e-01 
2.324948e-01 	 2.691057e-01 	 2.626876e-02 	 1.650515e-01 	 3.790675e-01 
2.339237e-01 	 2.687638e-01 	 2.626462e-02 	 1.650254e-01 	 3.809730e-01 
2.353527e-01 	 2.684210e-01 	 2.626034e-02 	 1.649986e-01 	 3.828736e-01 
2.367817e-01 	 2.680776e-01 	 2.625599e-02 	 1.649713e-01 	 3.847693e-01 
2.382107e-01 	 2.677342e-01 	 2.625158e-02 	 1.649435e-01 	 3.866604e-01 
2.396397e-01 	 2.673891e-01 	 2.624700e-02 	 1.649148e-01 	 3.885463e-01 
2.410686e-01 	 2.670449e-01 	 2.624245e-02 	 1.648862e-01 	 3.904277e-01 
2.424976e-01 	 2.666997e-01 	 2.623778e-02 	 1.648568e-01 	 3.923042e-01 
2.439266e-01 	 2.663533e-01 	 2.623296e-02 	 1.648266e-01 	 3.941759e-01 
2.453556e-01 	 2.660075e-01 	 2.622814e-02 	 1.647963e-01 	 3.960430e-01 
2.467846e-01 	 2.656610e-01 	 2.622323e-02 	 1.647654e-01 	 3.979052e-01 
2.482135e-01 	 2.653138e-01 	 2.621823e-02 	 1.647340e-01 	 3.997626e-01 
2.496425e-01 	 2.649662e-01 	 2.621314e-02 	 1.647020e-01 	 4.016151e-01 
2.510715e-01 	 2.646179e-01 	 2.620796e-02 	 1.646695e-01 	 4.034629e-01 
2.525005e-01 	 2.642701e-01 	 2.620266e-02 	 1.646362e-01 	 4.053078e-01 
